vendor,current_price,old_price,product_name,month
Metro,2,2.4899999999999998,Whole White Potatoes,7
Metro,2,2.4899999999999998,Whole White Potatoes,7
Metro,2,2.4899999999999998,Whole White Potatoes,7
Metro,2,2.4899999999999998,Whole White Potatoes,7
Metro,1.99,2.3899999999999997,Whole White Potatoes,7
Metro,2,2.4899999999999998,Whole White Potatoes,8
Metro,2,2.4899999999999998,Whole White Potatoes,8
Metro,2,2.4899999999999998,Whole White Potatoes,8
Metro,2,2.4899999999999998,Whole White Potatoes,8
Metro,2,2.4899999999999998,Whole White Potatoes,8
Metro,2,2.4899999999999998,Whole White Potatoes,8
Metro,2,2.4899999999999998,Whole White Potatoes,8
Metro,2,2.4899999999999998,Whole White Potatoes,8
Metro,2,2.4899999999999998,Whole White Potatoes,8
Metro,2,2.4899999999999998,Whole White Potatoes,8
Metro,2,2.4899999999999998,Whole White Potatoes,8
Metro,2,2.4899999999999998,Whole White Potatoes,8
Metro,2,2.4899999999999998,Whole White Potatoes,8
Metro,2,2.4899999999999998,Whole White Potatoes,8
Metro,2,2.4899999999999998,Whole White Potatoes,8
Metro,2,2.4899999999999998,Whole White Potatoes,8
Metro,2,2.4899999999999998,Whole White Potatoes,8
Metro,2,2.4899999999999998,Whole White Potatoes,8
Metro,2,2.4899999999999998,Whole White Potatoes,8
Metro,2,2.4899999999999998,Whole White Potatoes,8
Metro,2,2.4899999999999998,Whole White Potatoes,8
Metro,2,2.4899999999999998,Whole White Potatoes,8
Metro,2,2.4899999999999998,Whole White Potatoes,8
Metro,2,2.4899999999999998,Whole White Potatoes,8
Metro,2,2.4899999999999998,Whole White Potatoes,8
Metro,2,2.4899999999999998,Whole White Potatoes,8
Metro,2,2.4899999999999998,Whole White Potatoes,8
Metro,2,2.4899999999999998,Whole White Potatoes,8
Metro,2,2.4899999999999998,Whole White Potatoes,8
Metro,2.29,2.4899999999999998,Whole White Potatoes,9
Metro,2.29,2.4899999999999998,Whole White Potatoes,9
Metro,2.29,2.4899999999999998,Whole White Potatoes,9
Metro,2.29,2.4899999999999998,Whole White Potatoes,9
Metro,2.29,2.4899999999999998,Whole White Potatoes,9
Metro,2.29,2.4899999999999998,Whole White Potatoes,9
Metro,2.29,2.4899999999999998,Whole White Potatoes,9
Metro,2.29,2.4899999999999998,Whole White Potatoes,9
Metro,2.29,2.4899999999999998,Whole White Potatoes,9
Metro,2.29,2.4899999999999998,Whole White Potatoes,9
Metro,2.29,2.4899999999999998,Whole White Potatoes,9
Metro,2.29,2.4899999999999998,Whole White Potatoes,9
Metro,2.29,2.4899999999999998,Whole White Potatoes,9
Metro,2.29,2.4899999999999998,Whole White Potatoes,9
Metro,2.29,2.4899999999999998,Whole White Potatoes,9
Metro,2.29,2.4899999999999998,Whole White Potatoes,9
Metro,2.29,2.4899999999999998,Whole White Potatoes,9
Metro,2.29,2.4899999999999998,Whole White Potatoes,9
Metro,2.29,2.4899999999999998,Whole White Potatoes,9
Metro,2.29,2.4899999999999998,Whole White Potatoes,9
Metro,2.29,2.4899999999999998,Whole White Potatoes,9
Metro,2.29,2.4899999999999998,Whole White Potatoes,9
Metro,2.29,2.4899999999999998,Whole White Potatoes,10
Metro,2.29,2.4899999999999998,Whole White Potatoes,10
Metro,2.29,2.4899999999999998,Whole White Potatoes,10
Metro,2.29,2.4899999999999998,Whole White Potatoes,10
